MerchantID,MerchantName,MerchantCategory,Region,Country,City,OnboardedDate,Status,AnnualVolume,ContactEmail
M5243,Martinez and Sons,entertainment,APAC,SG,East Colleenmouth,2025-05-17,Active,41918013.53,kennedyrobert@lynn-brennan.com
M3723,Allen LLC ,ENTERTAINMENT,LATAM,AR,East Haleymouth,2021-07-15,Active,33542737.16,davidford@fitzpatrick.com
M7313,Boyer-Fletcher ,atm withdrawal,APAC,HK,Parkerstad,2022-06-08,Active,26065822.48,marcrocha@smith-green.com
M0143,Bennett-Vega ,retail,LATAM,CO,Lake Michelle,2022-01-19,Inactive,29772449.66,urice@davenport.com
M8292, Graham and Sons,ATM Withdrawal,EMEA,ZA,Parrishfurt,2022-08-21,Active,46448508.29,davidlopez@bender-porter.com
M6351,"Owens, Scott and Berg",Entertainment,APAC,IN,Blackhaven,2025-02-01,Active,35444135.69,williamsregina@jackson-rogers.com
M0974," Mendez, Williams and Henry",RESTAURANT,LATAM,CL,South Luistown,2022-09-27,Active,28593457.5,ycallahan@carrillo.com
M2761,"Smith, Sanders and Ramirez",atm withdrawal,LATAM,AR,East Johnberg,2024-02-24,Active,40106953.79,savagejeffrey@copeland.com
M4539,Huff Group,RESTAURANT,EMEA,DE,Stephanieside,2026-03-30,Active,48769215.4,sarah44@hill.net
M6182, Collier-Sullivan,entertainment,APAC,JP,Martinborough,2025-05-13,Active,18054508.62,umoore@briggs-baker.com
M1027,Allen and Sons,ATM WITHDRAWAL,APAC,HK,North Christopher,2024-05-25,Active,44133294.95,hernandezwhitney@hernandez.com
M7682,Garcia-Scott,Healthcare,APAC,IN,East Richardside,2022-09-08,Active,12572004.45,lisaallen@hart.net
M4166,Fletcher-Walsh,atm withdrawal,APAC,IN,New Lindsey,2025-12-14,Active,40386760.57,caseylaurie@hays.com
M2557,Dominguez Inc ,atm withdrawal,LATAM,AR,East Jamiemouth,2023-07-15,Active,21569959.97,jacobgreen@velazquez-dixon.com
M8824,Leach Group,utilities,LATAM,CL,South Ashley,2024-05-18,Active,935405.66,janetarnold@lawson.org
M3214,Jones-Williams,Online,LATAM,CO,Lake Hectorshire,2024-07-05,Active,16919161.91,alexanderchristopher@farmer.com
M6258,Butler and Sons ,TRAVEL,EMEA,FR,West Dorothy,2022-01-26,Active,17948437.53,gwright@george.info
M5375,Johnson and Sons,utilities,LATAM,CL,Port Jameschester,2025-02-20,Active,47748135.01,gpreston@castro.com
M8420,"Mccarthy, Brown and Estes",atm withdrawal,North America,US,Lake Amanda,2026-02-13,Active,35833192.64,james35@garcia.org
M7721,Rowland-Clark ,ATM WITHDRAWAL,EMEA,ZA,Craneland,2022-06-12,Active,39879041.04,kcochran@madden.biz
M0493,Williams-Butler,Healthcare,EMEA,ZA,Leemouth,2025-03-31,Active,4926270.4,qhanson@levy-savage.com
M8490,Cox LLC,ATM Withdrawal,LATAM,CO,North Mitchellberg,2024-01-23,Active,11057236.78,cmendez@gardner-foley.org
M1935,Lewis PLC,entertainment,North America,MX,West Joshua,2021-07-28,Active,40303238.72,bolsen@knight-mccann.com
M5612,"Greene, Anderson and Schultz",TRAVEL,North America,US,Cherryview,2025-08-23,Active,5118469.66,felicia74@brooks.com
M5727," Gordon, Mcbride and Ingram",entertainment,LATAM,CL,Christinaland,2023-06-27,Active,33295887.45,alexandra49@eaton.com
M8930,"Thompson, Adams and Crawford",Online,LATAM,AR,North Anthony,2026-03-21,Active,44763345.95,cwright@ray.info
M0451,"Vasquez, Garcia and Kim",Entertainment,North America,US,North Douglasfurt,2024-12-07,Active,27657436.9,figueroapatricia@brown.com
M6259, Morales Group,ONLINE,APAC,HK,Joseside,2024-05-13,Active,41021374.26,nathanconway@santos-rose.com
M8531,Valentine Ltd,restaurant,North America,US,Lake Paulside,2026-02-08,Active,39524643.28,staylor@davis.biz
M2104,French Ltd,RETAIL,North America,US,Gardnerberg,2023-08-06,Active,11300989.8,jacob28@rodgers-jarvis.com
M6003,"Wilson, Miller and Hall",TRAVEL,North America,MX,North Emma,2023-09-07,Active,8419711.81,rebekahhughes@dorsey.com
M2608,Smith and Sons,Restaurant,LATAM,BR,Amyburgh,2024-01-24,Active,44285701.75,randall36@miller.com
M6555,"Mercado, Riley and Castro",ENTERTAINMENT,APAC,IN,Johnshire,2023-08-17,Active,40400660.91,ginapalmer@castillo.com
M2650,Johnson-Rojas,Restaurant,LATAM,CO,Johnland,2023-06-10,Active,7374982.2,autumnflores@forbes-nelson.info
M0525,Washington Group,RESTAURANT,APAC,IN,North Joseph,2026-04-12,Active,13472421.75,sanchezangela@torres.info
M2910,"Peters, Wilkinson and Lewis",Healthcare,LATAM,AR,Lake Kimberly,2024-12-27,Active,12941263.97,scottmartinez@mcdowell.com
M9765,Baker and Sons,online,North America,CA,Robertview,2026-06-05,Active,28471919.93,codysimpson@garcia.com
M6326,Parker-Garcia ,Travel,APAC,AU,Lake Marymouth,2026-02-09,Active,16148355.2,james66@bailey.net
M1067,Brooks PLC,RESTAURANT,LATAM,AR,Lake Megan,2023-07-24,Active,4957665.67,duranjason@perry.com
M1187,"Wright, Freeman and Craig",Restaurant,APAC,SG,West Jennifer,2023-03-25,Active,46246824.22,zcarpenter@santiago.com
M5249,Miller-Lynch,Utilities,LATAM,CO,Lynnport,2026-03-11,Active,9553397.87,heather52@young-smith.com
M0183,Thomas-Chen,Travel,APAC,JP,Brooksland,2024-08-17,Inactive,42674106.16,powellkara@mayer.com
M5334,"Reyes, Keller and Beck",Entertainment,North America,US,Kellyton,2021-07-31,Active,42057831.69,lisasmith@rich.info
M7038, Esparza Ltd,Utilities,North America,US,East Lori,2024-02-21,Active,21178630.9,guzmandavid@rubio-mccarthy.com
M6822,"Fox, Bradley and Cook",UTILITIES,APAC,JP,North Ashley,2021-11-23,Active,33981859.49,terrygross@ferguson.org
M3989,"Shaffer, Gill and Aguilar",RESTAURANT,North America,MX,Dianeville,2025-09-10,Active,45555126.96,yroberts@collins.info
M1730,Kramer LLC,atm withdrawal,EMEA,AE,East Rachel,2023-10-09,Active,1747941.75,bmolina@castro.com
M9437,Mccall and Sons,entertainment,North America,CA,Marymouth,2023-05-03,Active,24868412.3,charles07@chung.com
M5218,Fox-Mccoy,Restaurant,LATAM,CL,North Joshua,2023-01-11,Active,24047700.96,wstrickland@lane.com
M9316,Gilbert-Collins,Utilities,LATAM,AR,Bethburgh,2024-06-20,Active,37840937.96,kevinvasquez@ward-stewart.com
M9199," Hernandez, Thompson and Rivera",Entertainment,EMEA,ZA,Davisberg,2025-04-20,Active,29182684.07,janet79@sherman.com
M2889,"Pennington, Murphy and Henry",ENTERTAINMENT,North America,US,Timothyside,2024-01-01,Active,37529857.81,weaverhector@johnson-moore.com
M6159,Young and Sons,entertainment,North America,MX,New Roberthaven,2024-03-14,Active,33773031.99,becky19@banks.com
M0801,"Barrett, Lopez and Taylor ",online,APAC,JP,Nathanfurt,2024-10-01,Active,43900397.18,morrisdaniel@booth-smith.biz
M0896,"Rush, Hughes and Russell",restaurant,APAC,AU,Taylormouth,2022-05-17,Active,6295743.54,michael64@davis-green.com
M0663,Porter Group,RETAIL,North America,US,Geoffreyport,2022-04-08,Active,45905651.91,barbara51@white.com
M1744, Torres Ltd,ATM Withdrawal,EMEA,NL,Tylermouth,2021-11-21,Active,47313420.06,hansenmatthew@holloway.com
M1102,Dean-Johnson ,Retail,North America,CA,Mooreville,2023-09-30,Active,19743702.77,bcompton@ramos.com
M1361, Parker-Frazier,atm withdrawal,APAC,IN,Angieshire,2022-11-18,Active,29671369.75,charles83@pham.info
M2577,Smith and Sons,Restaurant,North America,MX,Port Rebeccaborough,2024-03-18,Active,15617684.14,hardingeric@williamson.com
M6065,Johnson PLC,Online,North America,US,Robertport,2024-12-12,Active,36506552.04,ptorres@edwards.net
M9311,Butler Inc,TRAVEL,LATAM,AR,Sarahland,2023-02-25,Active,9698520.29,anna84@smith.info
M6706,"Lutz, Stewart and Jensen",ENTERTAINMENT,North America,CA,New Aaronstad,2024-04-09,Active,43969460.81,sarah13@maldonado-newman.com
M8321, Ward-Young,ATM Withdrawal,North America,CA,Delgadoborough,2025-05-31,Active,38687145.85,walshandrea@pena.com
M6048,Graham Inc,entertainment,EMEA,GB,New Lisa,2024-06-09,Active,38693324.12,gutierrezbrittany@king.com
M5784,"Anderson, Fitzgerald and Wiggins",healthcare,LATAM,BR,South Elizabethbury,2024-09-08,Active,8801694.28,wgarcia@miller.info
M9723,"Johnston, Chang and Levine",UTILITIES,APAC,HK,North Robert,2023-01-03,Active,44315511.58,andrea48@pearson.net
M8275,Campos-Berg,Utilities,North America,MX,Williammouth,2022-08-19,Active,38437388.23,thomas88@morse.info
M9064,Aguirre Inc,TRAVEL,North America,MX,Leahmouth,2025-12-09,Active,12146879.08,ehensley@horton.com
M1311,Martin and Sons ,ONLINE,LATAM,AR,Gutierrezborough,2023-08-05,Active,6453493.28,vanessacastaneda@roberts.org
M5109,Stuart-Wood,ATM WITHDRAWAL,North America,MX,Gonzalezshire,2025-06-05,Active,12314373.84,grayashley@brown.com
M1146,Patel Group,utilities,APAC,AU,Stoneland,2024-10-14,Active,7236436.39,kristinyoder@marshall-green.com
M0488,Davis-Scott,utilities,North America,MX,Port Michelle,2021-11-26,Active,20010906.42,frankchan@holland-best.com
M5382,"Sanchez, Long and Woodward",utilities,LATAM,CL,Hallland,2024-11-06,Active,24813841.8,williamsdavid@smith.com
M2404,"Hurley, Bauer and Mann",Restaurant,APAC,AU,Jamesfurt,2025-04-30,Active,10788947.47,davidbrown@brady.org
M2869,Hobbs-Rodgers,travel,North America,MX,South Kimberly,2022-01-02,Active,14692982.87,evansangela@reyes.net
M8586,Holmes-Patel,ATM Withdrawal,APAC,SG,Dunnborough,2022-07-18,Active,46783551.64,shannonthompson@medina.com
M1236,Olson Inc ,ONLINE,EMEA,NL,Sherryton,2021-12-01,Active,27329972.12,theresa92@blackwell-rodriguez.com
M9607, Campbell-Martinez,UTILITIES,LATAM,CO,New Haley,2026-01-26,Active,39100684.86,blakedavid@george-morales.info
M5754,Jones-Everett,RESTAURANT,LATAM,BR,East Toddfort,2022-07-11,Active,42778014.77,mary28@howard.com
M6764,"Taylor, Johnson and Lopez ",ATM WITHDRAWAL,APAC,SG,Brownside,2021-11-23,Active,33937563.97,christianwilson@mathis.com
M7213, Cook-Lamb,RETAIL,EMEA,GB,Danielchester,2023-04-27,Active,19501523.61,jbrown@jackson.net
M2417,Stephens-Smith ,ATM Withdrawal,EMEA,ZA,South Edwardtown,2024-04-06,Active,49058662.69,kmiller@boyd.com
M4571,"Fernandez, Odonnell and Mccormick",utilities,EMEA,ZA,East Michael,2022-04-17,Active,8709255.6,matthew13@farmer-torres.com
M5818,Berry Inc,Restaurant,LATAM,BR,Lopeztown,2021-10-04,Active,32811614.13,taylorjack@medina.org
M5803,"Oneal, Bell and Potter",ATM Withdrawal,North America,CA,East Timothy,2024-11-11,Active,24528333.56,xjohnson@morton.info
M5663,Stewart-Martinez ,ATM Withdrawal,LATAM,CL,Timothybury,2022-12-18,Active,7221686.98,swood@sanchez.org
M0016,Phillips Inc ,travel,APAC,AU,Lake Leeton,2024-05-19,Inactive,26971915.62,brianromero@jones.com
M8659, Mclean-Salazar,Utilities,APAC,JP,Schneiderbury,2023-11-11,Active,28065188.39,kaitlyncalhoun@jenkins.org
M3952,"Kelley, Jones and Roberts",travel,APAC,IN,Lake Ruthbury,2024-10-13,Active,17105679.76,cibarra@robinson.org
M3359,"Todd, Reed and Lee",RETAIL,North America,US,Saraton,2023-08-02,Active,20179067.74,wayne29@medina-young.com
M1374,"Maxwell, Young and Maxwell",Restaurant,LATAM,BR,Lake Tara,2023-12-07,Active,2653024.95,ibarton@gardner.com
M9428, Khan Group,TRAVEL,North America,CA,Sherrybury,2023-06-10,Active,48846276.87,johnphillips@moreno.com
M7915,"Baker, Reed and Johnston",RETAIL,EMEA,NL,West Mollyborough,2023-08-01,Active,10393019.65,ihawkins@foster.com
M5608, Hammond-Higgins,online,EMEA,AE,Johnsonland,2026-05-23,Active,34710965.12,vanessathornton@lyons-rodriguez.info
M8559,"Solomon, Gomez and Smith ",Utilities,North America,CA,West Cody,2022-07-04,Active,24293210.16,peggy82@hensley.net
M1934,Spencer Group,atm withdrawal,North America,CA,East Donna,2021-08-15,Active,46365084.02,karlmartin@cohen.com
M7254,"Vaughn, Graves and Hall",Entertainment,North America,US,Port Luke,2024-02-15,Active,28731205.48,powellemily@cook.com
M8080,Baxter-Walsh,HEALTHCARE,EMEA,DE,Mitchellview,2023-06-14,Active,3412161.52,melissa88@chavez-carpenter.net
M5962, Wong-Carr,restaurant,LATAM,CO,Michaelfort,2023-10-25,Active,28864905.72,jeremy95@farmer.org
M9672,"Allen, Carey and Kerr",ENTERTAINMENT,APAC,IN,Jeffreyland,2024-06-10,Active,26650228.51,durhamleslie@farmer-sanchez.com
M5687,Chen-Carr ,atm withdrawal,APAC,AU,Patricktown,2024-09-20,Active,11773538.05,raymondmoreno@nguyen.net
M4107," Smith, Allen and Barr",restaurant,APAC,HK,Herrerachester,2023-08-07,Active,5122761.34,sreed@woodard-rasmussen.net
M2969,"Morris, Washington and Mitchell",Restaurant,APAC,HK,North Jerryborough,2021-11-16,Active,30737581.92,francisapril@davis-bailey.net
M9261,"Kelly, Valdez and Jordan",entertainment,LATAM,BR,Stevenchester,2025-09-08,Active,34784585.95,jocampos@lang.com
M1499,Tran and Sons,RESTAURANT,North America,CA,Nicoletown,2021-11-29,Active,16244678.65,laurasanchez@miller-hudson.com
M8833,"Mejia, Jackson and Pham ",RESTAURANT,EMEA,GB,Bradleymouth,2022-06-15,Active,41243460.43,emolina@torres-hoffman.com
M0799,Krause LLC,Utilities,LATAM,CO,Bakerfort,2023-03-27,Active,40394603.24,michael87@mcdaniel.org
M7490,Porter LLC,travel,LATAM,AR,Ryanburgh,2025-02-20,Active,34559079.87,bjones@baker-pitts.net
M4868,Frey-Davis,online,North America,MX,Rodneystad,2023-05-09,Active,3627035.38,buchanananthony@lopez.net
M9867,Sexton LLC,ENTERTAINMENT,APAC,JP,Andersonton,2022-06-03,Active,4262564.49,ijensen@cunningham-le.info
M9865, Owens-Brown,ATM WITHDRAWAL,APAC,IN,Hammondshire,2023-11-01,Active,31866737.8,wcole@schultz-roberts.biz
M1025,Adams LLC,atm withdrawal,APAC,SG,Port Cheyenneberg,2021-10-13,Active,9029581.02,eric81@obrien-barker.com
M0911,"Drake, Allen and Gilbert",healthcare,EMEA,GB,Rodgersmouth,2024-06-11,Active,20616206.66,bateswilliam@mack.com
M1516,Smith-Cherry ,ATM Withdrawal,North America,US,Robertchester,2021-08-16,Active,34839672.65,perezjohn@melendez-vargas.com
M5098,"Taylor, Sparks and Dominguez",ONLINE,EMEA,ZA,Lake Joshua,2022-06-11,Active,22656825.19,williamsjoshua@sanders-shaffer.net
M1757,"Patel, Miller and Wilson",Entertainment,North America,US,Aliciaton,2021-09-27,Active,11150167.32,kim09@green.com
M5019,"James, Morris and Kennedy ",Restaurant,EMEA,GB,North Jessica,2022-04-04,Active,17027775.34,brittany22@robertson.net
M7950,"Baldwin, May and Sanchez",RESTAURANT,APAC,HK,Brockborough,2024-01-27,Active,3802278.01,ffrench@jones.biz
M8086,Collins and Sons,TRAVEL,LATAM,CL,Port Ryan,2022-03-18,Active,39788111.43,hillsamantha@roberts.net
M0889,Hawkins-Murillo,Utilities,EMEA,ZA,South Jacob,2024-01-20,Active,26944990.81,yburton@green.com
M6361,Carlson and Sons,retail,EMEA,DE,New Raymond,2025-04-07,Active,30635897.81,garrett22@garcia-kim.com
M0287,Hooper LLC,TRAVEL,APAC,SG,Lake Tanyaview,2025-08-20,Active,44237257.2,beth92@valdez-diaz.com
M9894," Sullivan, Martinez and Mitchell",utilities,EMEA,ZA,North Daniellefurt,2023-10-03,Active,38918446.79,gwilson@christensen.org
M8093,White Ltd,Utilities,EMEA,ZA,West Carrie,2021-10-10,Active,22104918.46,james14@spencer.com
M1890,Deleon-Aguilar,TRAVEL,North America,MX,South Andrewmouth,2022-12-22,Active,40383427.89,deborah34@riggs.net
M0456,"Martin, Jordan and Edwards",restaurant,LATAM,BR,Freemanville,2024-04-21,Active,15758510.43,rkeller@armstrong.net
M3475,Wilkins-Jacobs,utilities,LATAM,CO,North Monica,2023-04-25,Active,7396823.93,rioscassandra@brown.org
M2825,Walker LLC,RETAIL,EMEA,AE,West Morganstad,2025-02-23,Active,19693703.79,hughestimothy@jones.biz
M9832,"Briggs, Ramirez and Nelson",TRAVEL,APAC,JP,West William,2025-04-04,Active,30888394.46,villegasbarbara@park.com
M3792,Harmon Ltd,Travel,North America,US,East Michaelbury,2023-06-20,Active,11524605.01,ravenhanson@garrett.com
M3035,"Anderson, Hale and Reid",Healthcare,LATAM,AR,New Charlesstad,2025-12-13,Active,26647675.04,michaelgordon@johnson.com
M2463,Williams Ltd,atm withdrawal,North America,CA,Maryborough,2023-06-06,Active,16197383.06,philiproberts@colon.org
M2703,Terry-Cook,ONLINE,LATAM,CO,Zacharyshire,2025-01-11,Active,45096906.94,wellsvalerie@matthews.org
M2425,Davidson-Good ,TRAVEL,North America,US,Stefaniehaven,2023-09-12,Active,47077633.16,denisecole@orozco.com
M9616,"Lee, Padilla and Horton",Travel,APAC,SG,New Tara,2021-12-25,Active,46049133.17,fostersharon@walker.com
M8835,"Lin, Huffman and Jones",healthcare,APAC,SG,North Bradley,2022-09-19,Active,37462549.4,murraykatie@brown.com
M0275,Stevens LLC,HEALTHCARE,LATAM,BR,North Charlesburgh,2025-06-07,Active,41764235.34,andrewsjeremy@russell-hayes.biz
M0373,"Hodge, Mckinney and Nelson",Online,LATAM,CO,South Nataliestad,2023-09-20,Active,35259801.79,javier42@brooks.com
M3759,"Madden, Hernandez and Miller",Utilities,LATAM,AR,New Brandifurt,2021-08-15,Active,11359426.9,leelarry@parrish.com
M7849, Wilson Group,online,North America,US,North Jenniferport,2022-06-15,Active,17693426.25,desireeshort@york.net
M3938,"Heath, Arellano and Ward ",travel,APAC,AU,West Lawrenceland,2021-06-25,Active,10198567.86,bowmanjamie@wade.com
M0709,Irwin and Sons,online,LATAM,CO,West Tyler,2022-09-06,Active,14802792.49,vhoward@lee.com
M7875, Edwards-Hoover,retail,LATAM,CO,Garyberg,2025-11-23,Active,44270524.39,alishaallen@ferguson.com
M1675,Todd Group,utilities,North America,US,Patriciatown,2022-02-25,Active,39886820.64,justin17@daniels.net
M3727,"Walker, Castillo and Deleon",UTILITIES,North America,US,Lake Jessica,2025-10-25,Active,24831713.86,jenniferadams@wilson.com
M6687,"Thomas, Mills and Rogers",retail,North America,US,Burtonbury,2024-02-07,Active,24999250.88,rowekenneth@morales.com
M5716,Turner Group,RETAIL,EMEA,NL,New Brent,2023-11-14,Active,14466589.98,melissa14@woods.com
M5907,"Charles, Kennedy and Norris",RETAIL,EMEA,NL,Mccarthyborough,2023-12-29,Active,31041104.31,ashleybennett@hodge-pennington.com
M9007,Patterson Inc ,atm withdrawal,APAC,IN,East Matthew,2025-06-22,Active,43044646.99,jose51@gray.com
M9491," Young, Boone and Silva",RETAIL,LATAM,CL,Barneschester,2021-10-12,Active,46752167.78,myersrobin@freeman-jones.com
M5592," Young, Ibarra and Martin",utilities,North America,US,Barajasmouth,2023-09-22,Active,45924396.41,robertsonbrad@rodriguez-chaney.info
M6843,Davenport-Lowery ,atm withdrawal,LATAM,AR,East Timothy,2023-06-21,Active,4309293.02,khernandez@sweeney.com
M3310,Johnson-Berry,UTILITIES,EMEA,GB,North Jessica,2023-03-04,Active,45587139.41,kristinabrown@smith.org
M0408, Bentley-Berg,Healthcare,North America,US,Lake Beth,2026-01-31,Active,38460154.53,mosstracy@ruiz.com
M3975,Stanley LLC,RESTAURANT,LATAM,CO,North Jacob,2024-11-06,Active,1047760.79,jdavidson@watson-tate.com
M5759,"Olson, Williamson and Simpson ",HEALTHCARE,LATAM,AR,Port Joshua,2025-08-04,Active,47199579.26,kylefowler@lang.com
M3901,Robinson Group,RETAIL,EMEA,AE,East Shawn,2021-11-20,Active,15290807.45,loganle@barr.info
M5321,Wilcox-Gutierrez,RESTAURANT,LATAM,CL,Port Nicholas,2026-05-15,Active,27585847.45,peggy90@palmer.com
M3601,Gonzalez-Mercer,restaurant,APAC,JP,Fishertown,2026-02-28,Active,11585711.22,ubenton@bowman.com
M7619,Wright and Sons,RESTAURANT,LATAM,CO,Riverashire,2023-09-22,Active,42358642.77,mmcfarland@williams.com
M2529,Davis LLC,online,LATAM,AR,South Frederick,2022-02-21,Active,12472619.08,mary41@johnson.com
M1601,Thompson Ltd ,Healthcare,APAC,AU,Jessicaside,2024-07-08,Active,22604189.56,anthonyfranklin@francis-lewis.org
M8843,"Parks, Tanner and Reid ",utilities,EMEA,GB,East Jacob,2023-12-10,Active,4048691.96,laurenkane@jimenez.com
M2774,"Marshall, Johnson and Carpenter",RESTAURANT,EMEA,ZA,North Scott,2022-03-08,Active,39624276.09,leonkatie@mann.com
M5171,"Lopez, Miller and Moore",utilities,LATAM,BR,Katherineberg,2025-02-28,Active,34803387.74,amandasanchez@lynch.com
M9126,"Rivera, Miller and Stewart",entertainment,APAC,JP,Robertstad,2022-04-08,Active,3133830.72,contrerasmargaret@adams.net
M3947,"Stewart, Martin and Lewis",HEALTHCARE,North America,US,Garciaton,2025-07-13,Active,5413627.55,holtandrew@robinson-johnson.com
M5686,"Davis, Snyder and Bell",ATM WITHDRAWAL,EMEA,FR,New Paulberg,2023-12-12,Active,12590552.23,olawrence@king.com
M6682,Smith Ltd,travel,EMEA,FR,Rothberg,2022-11-23,Active,7555171.9,andresvazquez@king.info
M8055,Gentry-Quinn,online,LATAM,BR,Heatherborough,2025-08-02,Active,33315764.95,yjohnson@watson.biz
M8322,"Munoz, Cannon and Lewis ",HEALTHCARE,North America,US,East Mary,2022-05-11,Active,46394432.17,lewislaura@mclaughlin.org
M5345,Nguyen Group,TRAVEL,North America,CA,Lake Michaelmouth,2025-07-31,Active,6450883.24,andreawebb@turner.com
M5303,Meyer-Rodriguez,RETAIL,LATAM,CO,North Jaimechester,2026-05-28,Active,16070352.35,timothy01@stephens-macias.biz
M4842," Brewer, Gutierrez and Harrison",restaurant,North America,CA,Tannermouth,2024-12-20,Active,7890866.92,uwatts@cox.net
M8180,Hart-Hensley,travel,EMEA,AE,Matthewstad,2025-01-02,Active,49059363.19,abean@tyler.com
